               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.037989,            0.090692,                   0,             0.98215,             0.96282,             0.99104,             0.74303,            0.030077,            0.057407,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.037658,            0.090739,                   0,             0.98389,             0.96155,             0.99109,             0.74288,            0.030104,            0.057376,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.036271,              0.0878,                   0,             0.98112,             0.96045,             0.99088,              0.7433,            0.030089,            0.057376,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.037774,            0.092535,                   0,             0.98301,             0.96141,              0.9912,             0.74355,            0.030055,             0.05729,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.038562,            0.096781,                   0,             0.98244,             0.96348,             0.99137,              0.7435,            0.030011,            0.057191,                   0,            0.000694,            0.000694,            0.000694
                 143,             0.03839,            0.091904,                   0,             0.98078,             0.96596,             0.99127,             0.74396,            0.029972,            0.057167,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.036694,            0.088158,                   0,             0.98053,             0.96459,             0.99136,             0.74392,            0.029993,            0.057215,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.037701,            0.087877,                   0,             0.98171,             0.96458,             0.99128,             0.74392,             0.02997,            0.057132,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.036303,            0.083101,                   0,             0.98394,             0.96265,             0.99136,             0.74388,            0.029979,            0.057158,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.037447,            0.091016,                   0,             0.98257,             0.96353,             0.99149,             0.74418,            0.029941,            0.057068,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.038131,            0.088665,                   0,             0.98207,             0.96541,             0.99168,             0.74454,            0.029932,            0.057053,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.037792,            0.091833,                   0,             0.98258,             0.96407,             0.99156,             0.74505,            0.029923,             0.05698,                   0,            0.000232,            0.000232,            0.000232
